省名,站名,站名简码
甘肃,南河川,NHC
甘肃,磐安镇,PAZ
甘肃,平凉,PLI
甘肃,平凉南,PLN
甘肃,平原堡,PYP
甘肃,坡底下,PDX
甘肃,桥湾,QWA
甘肃,桥西,QXI
甘肃,清水,QSH
甘肃,庆阳山,QYS
甘肃,三阳川,SYC
甘肃,桑园子,SYZ
甘肃,山丹,SDA
甘肃,上腰墩,SYD
甘肃,邵家堂,SJT
甘肃,神峪河,SYH
甘肃,石峡子,SXZ
甘肃,疏勒河,SLH
甘肃,水源,SYU
甘肃,谭家井,TJJ
甘肃,天水,TSH
甘肃,天祝,TZH
甘肃,通安驿,TAY
甘肃,土门子,TMZ
甘肃,王家湾,WJW
甘肃,渭南镇,WNZ
甘肃,吴家川,WJC
甘肃,武山,WSH
甘肃,武威,WWE
甘肃,武威南,WWN
甘肃,西固城,XGC
甘肃,夏官营,XGY
甘肃,小泉东,XQD
甘肃,新李,XLI
甘肃,新阳镇,XYZ
甘肃,兴泉堡,XQP
甘肃,许家台,XJT
甘肃,许三湾,XSW
甘肃,营盘水,YPS
甘肃,永登,YDE
甘肃,玉门,YME
甘肃,玉门东,YMD
甘肃,玉石,YSH
甘肃,鸳鸯镇,YYZ
甘肃,元龙,YLO
甘肃,园墩,YDU
甘肃,岳家井,YJJ
甘肃,云田乡,YTX
甘肃,张掖,ZYE
甘肃,朱家窑,ZJY
甘肃,芨岭,JLI
广东,北滘,BJI
广东,碧江,BJI
广东,常平,CPI
广东,潮汕,CSH
广东,潮阳,CYA
广东,潮州,CZH
广东,车岗,CGA
广东,春湾,CWA
广东,翠亨,CHE
广东,大埔,DPU
广东,电白,DBA
广东,东升,DSH
广东,东莞,DGU
广东,东莞东,DGD
广东,丰顺,FSH
广东,佛山,FSH
广东,高州,GZH
广东,古镇,GZH
广东,光明城,GMC
广东,广州,GZH
广东,广州北,GZB
广东,广州东,GZD
广东,广州南,GZN
广东,广州西,GZX
广东,和平,HPI
广东,河源,HYU
广东,虎门,HME
广东,华城,HCH
广东,化州,HZH
广东,惠东,HDO
广东,惠州,HZH
广东,惠州南,HZN
广东,惠州西,HZX
广东,江海,JHA
广东,江门,JME
广东,揭阳,JYA
广东,锦和,JHE
广东,九龙,JLO
广东,葵潭,KTA
广东,乐昌,LCH
广东,雷州,LZH
广东,礼乐,LYU
广东,连江口,LJK
广东,廉江,LJI
广东,龙川,LCH
广东,芦洪市,LHS
广东,陆丰,LFE
广东,茂名,MMI
广东,茂名东,MMD
广东,梅州,MZH
广东,明珠,MZH
广东,南朗,NLA
广东,南头,NTO
广东,坪石,PSH
广东,平湖,PHU
广东,平湖南,PHN
广东,普宁,PNI
广东,前山,QSH
广东,清远,QYU
广东,庆盛,QSH
广东,饶平,RPI
广东,容桂,RGU
广东,三水,SSH
广东,沙琅,SLA
广东,汕头,STO
广东,汕尾,SWE
广东,韶关,SGU
广东,韶关东,SGD
广东,深圳,SZH
广东,深圳北,SZB
广东,深圳东,SZD
广东,深圳坪山,SZS
广东,深圳西,SZX
广东,石龙,SLO
广东,顺德,SDE
广东,顺德学院,SDY
广东,遂溪,SXI
广东,塘口,TKO
广东,唐家湾,TJW
广东,桃映,TYI
广东,天堂,TTA
广东,吴川,WCH
广东,西丽,XLI
广东,小榄,XLA
广东,新会,XHU
广东,新兴县,XXX
广东,信宜,XYI
广东,兴宁,XNI
广东,徐闻,XWE
广东,阳春,YCH
广东,英德,YDE
广东,英德西,YDX
广东,源潭,YTA
广东,湛江,ZJI
广东,湛江西,ZJX
广东,樟木头,ZMT
广东,肇庆,ZQI
广东,中山,ZSH
广东,中山北,ZSB
广东,珠海,ZHA
